Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated,plot,cover_url,plot_combined,genre
36,tt0096446,2020-10-01,2020-10-01,A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.,Willow,https://www.imdb.com/title/tt0096446/,movie,7.2,126.0,1988,"Action, Adventure, Drama, Fantasy, Romance",121629,1988-05-20,Ron Howard,,,A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.,https://m.media-amazon.com/images/M/MV5BZWIyMTA2M2ItOGI5MC00OTY0LWFmZTItN2NkOWQ0MGQ5NDkyL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.
Action, Adventure, Drama, Fantasy, Romance
Ron Howard","Action, Adventure, Drama, Fantasy, Romance"
37,tt0086856,2020-10-01,2020-10-01,"Adventurer, brain surgeon, rock musician Buckaroo Banzai and his crime-fighting team, the Hong Kong Cavaliers, must stop evil alien invaders from the eighth dimension who are planning to conquer Earth.",The Adventures of Buckaroo Banzai Across the 8th Dimension,https://www.imdb.com/title/tt0086856/,movie,6.2,103.0,1984,"Adventure, Comedy, Sci-Fi",26918,1984-08-10,W.D. Richter,7.0,2021-12-02,"Adventurer, brain surgeon, rock musician Buckaroo Banzai and his crime-fighting team, the Hong Kong Cavaliers, must stop evil alien invaders from the eighth dimension who are planning to conquer Earth.",https://m.media-amazon.com/images/M/MV5BMmE1OWZjYjctYzZlNi00YmEyLTg4YWYtZDc4NTE2ODZlYzhhXkEyXkFqcGdeQXVyNzc5MjA3OA@@.jpg,"Adventurer, brain surgeon, rock musician Buckaroo Banzai and his crime-fighting team, the Hong Kong Cavaliers, must stop evil alien invaders from the eighth dimension who are planning to conquer Earth.
Adventure, Comedy, Sci-Fi
W.D. Richter","Adventure, Comedy, Sci-Fi"
38,tt0087464,2020-10-01,2020-10-01,"After a small earthquake in a tiny, quiet town, local citizens start to exhibit bizarre, violent and self-destructive behaviour.",Impulse,https://www.imdb.com/title/tt0087464/,movie,5.9,91.0,1984,"Horror, Mystery, Sci-Fi, Thriller",1527,1984-09-28,Graham Baker,,,"After a small earthquake in a tiny, quiet town, local citizens start to exhibit bizarre, violent and self-destructive behaviour.",https://m.media-amazon.com/images/M/MV5BZWJlYzMyYTItYTExNC00MTk1LWEwNGQtMWNiMzUyNTkyZTNkXkEyXkFqcGdeQXVyMTUzMDUzNTI3.jpg,"After a small earthquake in a tiny, quiet town, local citizens start to exhibit bizarre, violent and self-destructive behaviour.
Horror, Mystery, Sci-Fi, Thriller
Graham Baker","Horror, Mystery, Sci-Fi, Thriller"
39,tt0087799,2020-10-01,2020-10-01,"A comet wipes out most of life on Earth, leaving two Valley Girls fighting against cannibal zombies and a sinister group of scientists.",Night of the Comet,https://www.imdb.com/title/tt0087799/,movie,6.3,95.0,1984,"Comedy, Horror, Sci-Fi",21643,1984-08-31,Thom Eberhardt,,,"A comet wipes out most of life on Earth, leaving two Valley Girls fighting against cannibal zombies and a sinister group of scientists.",https://m.media-amazon.com/images/M/MV5BOTQzZDVkMTctYTdlZi00MTc2LWJhMTEtM2VmZjY1MzFiYjI5L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"A comet wipes out most of life on Earth, leaving two Valley Girls fighting against cannibal zombies and a sinister group of scientists.
Comedy, Horror, Sci-Fi
Thom Eberhardt","Comedy, Horror, Sci-Fi"
40,tt0088979,2020-10-01,2020-10-01,A seemingly normal young boy is found abandoned on a mountain road and adopted by a family who are increasingly amazed by his abilities before discovering the secret behind his real identity.,D.A.R.Y.L.,https://www.imdb.com/title/tt0088979/,movie,6.2,99.0,1985,"Family, Sci-Fi",13342,1985-06-14,Simon Wincer,,,A seemingly normal young boy is found abandoned on a mountain road and adopted by a family who are increasingly amazed by his abilities before discovering the secret behind his real identity.,https://m.media-amazon.com/images/M/MV5BMjQzZTM3NDYtMzdmNS00MWM4LTliNTMtODE2YTAyYmZkM2VjXkEyXkFqcGdeQXVyMTUzMDUzNTI3.jpg,"A seemingly normal young boy is found abandoned on a mountain road and adopted by a family who are increasingly amazed by his abilities before discovering the secret behind his real identity.
Family, Sci-Fi
Simon Wincer","Family, Sci-Fi"
41,tt0159509,2020-10-01,2020-10-01,A teenage boy must fight in an interplanetary war as the only available pilot to a revolutionary new giant battle robot.,Kidô Senshi Gundam,https://www.imdb.com/title/tt0159509/,movie,7.1,137.0,1981,"Animation, Action, Adventure, Crime, Drama, History, Romance, Sci-Fi, War",1876,1981-03-14,"Shin'ya Sadamitsu, Eikichi Kojika, Ryôji Fujiwara, Yoshiyuki Tomino",,,A teenage boy must fight in an interplanetary war as the only available pilot to a revolutionary new giant battle robot.,https://m.media-amazon.com/images/M/MV5BZGEzOGEwZWMtODI0MC00NjU5LThlMzItNmJlMGFiNDEwM2RhXkEyXkFqcGdeQXVyMTA3NTQwNDU4.jpg,"A teenage boy must fight in an interplanetary war as the only available pilot to a revolutionary new giant battle robot.
Animation, Action, Adventure, Crime, Drama, History, Romance, Sci-Fi, War
Shin'ya Sadamitsu, Eikichi Kojika, Ryôji Fujiwara, Yoshiyuki Tomino","Animation, Action, Adventure, Crime, Drama, History, Romance, Sci-Fi, War"
42,tt1060255,2020-10-03,2020-10-03,"When Christian finds out his runaway teenage daughter, Jesse has been sexually attacked, the suburban father loses it. Setting out to find Jesse's attacker, Christian goes on a violent rampage.",The Horseman,https://www.imdb.com/title/tt1060255/,movie,6.5,96.0,2008,"Crime, Thriller",5138,2008-08-03,Steven Kastrissios,,,"When Christian finds out his runaway teenage daughter, Jesse has been sexually attacked, the suburban father loses it. Setting out to find Jesse's attacker, Christian goes on a violent rampage.",https://m.media-amazon.com/images/M/MV5BMjA1MDk1ODY0M15BMl5BanBnXkFtZTcwMTczNjg1Mw@@.jpg,"When Christian finds out his runaway teenage daughter, Jesse has been sexually attacked, the suburban father loses it. Setting out to find Jesse's attacker, Christian goes on a violent rampage.
Crime, Thriller
Steven Kastrissios","Crime, Thriller"
43,tt0075931,2020-10-03,2020-10-03,"A scientist creates Proteus--an organic super computer with artificial intelligence which becomes obsessed with human beings, and in particular the creators wife.",Demon Seed,https://www.imdb.com/title/tt0075931/,movie,6.3,94.0,1977,"Horror, Sci-Fi",9271,1977-04-08,Donald Cammell,,,"A scientist creates Proteus--an organic super computer with artificial intelligence which becomes obsessed with human beings, and in particular the creators wife.",https://m.media-amazon.com/images/M/MV5BYzNjYWM5NDItZGI3My00OWUxLWE5NDgtYTc0NjJlZjRiNjJjXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,"A scientist creates Proteus--an organic super computer with artificial intelligence which becomes obsessed with human beings, and in particular the creators wife.
Horror, Sci-Fi
Donald Cammell","Horror, Sci-Fi"
44,tt0060955,2020-10-03,2020-10-03,An unhappy middle-aged banker agrees to a procedure that will fake his death and give him a completely new look and identity - one that comes with its own price.,Seconds,https://www.imdb.com/title/tt0060955/,movie,7.6,106.0,1966,"Sci-Fi, Thriller",20397,1966-05-16,John Frankenheimer,,,An unhappy middle-aged banker agrees to a procedure that will fake his death and give him a completely new look and identity - one that comes with its own price.,https://m.media-amazon.com/images/M/MV5BYmYwMmFjMDYtYTEyYS00NzUwLWIyZTMtNjFjZmVmZjhkY2M1XkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg,"An unhappy middle-aged banker agrees to a procedure that will fake his death and give him a completely new look and identity - one that comes with its own price.
Sci-Fi, Thriller
John Frankenheimer","Sci-Fi, Thriller"
45,tt0070531,2020-10-03,2020-10-03,Desert ants suddenly form a collective intelligence and begin to wage war on the inhabitants. It is up to two scientists and a stray girl they rescue from the ants to destroy them.,Phase IV,https://www.imdb.com/title/tt0070531/,movie,6.4,84.0,1974,"Horror, Sci-Fi, Thriller",8845,1974-09-30,Saul Bass,,,Desert ants suddenly form a collective intelligence and begin to wage war on the inhabitants. It is up to two scientists and a stray girl they rescue from the ants to destroy them.,https://m.media-amazon.com/images/M/MV5BYWJjYzBkMGYtMzRhZi00YWM5LWJmYjUtYzFlNmVmMzU1M2IwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@.jpg,"Desert ants suddenly form a collective intelligence and begin to wage war on the inhabitants. It is up to two scientists and a stray girl they rescue from the ants to destroy them.
Horror, Sci-Fi, Thriller
Saul Bass","Horror, Sci-Fi, Thriller"
46,tt0080468,2020-10-03,2020-10-03,"A man who grew up in a primitive society educating himself by reading Shakespeare is allowed to join the futuristic society where his parents are from. However, he cannot adapt to their repressive ways.",Brave New World,https://www.imdb.com/title/tt0080468/,tvMovie,6.6,180.0,1980,"Drama, Sci-Fi",1053,1980-03-07,Burt Brinckerhoff,,,"A man who grew up in a primitive society educating himself by reading Shakespeare is allowed to join the futuristic society where his parents are from. However, he cannot adapt to their repressive ways.",https://m.media-amazon.com/images/M/MV5BNDQzY2U0NzctMTIzNC00YWYxLTljMDAtZDJmY2RlNzFjOTZiXkEyXkFqcGdeQXVyMTQzODk1MTk@.jpg,"A man who grew up in a primitive society educating himself by reading Shakespeare is allowed to join the futuristic society where his parents are from. However, he cannot adapt to their repressive ways.
Drama, Sci-Fi
Burt Brinckerhoff","Drama, Sci-Fi"
47,tt0830558,2020-10-13,2020-10-13,Follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt and the boys who witness and fail to report the crime.,The Girl Next Door,https://www.imdb.com/title/tt0830558/,movie,6.5,91.0,2007,"Crime, Drama, Horror, Thriller",26951,2007-07-19,Gregory Wilson,,,Follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt and the boys who witness and fail to report the crime.,https://m.media-amazon.com/images/M/MV5BMTUwMDcyNjE1MF5BMl5BanBnXkFtZTcwOTA1Njg0MQ@@.jpg,"Follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt and the boys who witness and fail to report the crime.
Crime, Drama, Horror, Thriller
Gregory Wilson","Crime, Drama, Horror, Thriller"
48,tt0072267,2020-10-15,2020-10-15,"Hoping to cure his violent seizures, a man agrees to a series of experimental microcomputers inserted into his brain but inadvertently discovers that violence now triggers a pleasurable response to his brain.",The Terminal Man,https://www.imdb.com/title/tt0072267/,movie,5.6,107.0,1974,"Horror, Sci-Fi, Thriller",2341,1974-06-19,Mike Hodges,,,"Hoping to cure his violent seizures, a man agrees to a series of experimental microcomputers inserted into his brain but inadvertently discovers that violence now triggers a pleasurable response to his brain.",https://m.media-amazon.com/images/M/MV5BYjUwNzgwNDYtMGMxOS00OGYzLWE3ZjItNDJhYzc2NDMzODI1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@.jpg,"Hoping to cure his violent seizures, a man agrees to a series of experimental microcomputers inserted into his brain but inadvertently discovers that violence now triggers a pleasurable response to his brain.
Horror, Sci-Fi, Thriller
Mike Hodges","Horror, Sci-Fi, Thriller"
49,tt0069134,2020-10-15,2020-10-15,"A seedy writer of sleazy pulp novels is recruited by a quirky, reclusive ex-actor to help him write his biography at his house in Malta.",Pulp,https://www.imdb.com/title/tt0069134/,movie,5.9,95.0,1972,"Comedy, Crime, Drama, Mystery, Thriller",2637,1972-08-16,Mike Hodges,,,"A seedy writer of sleazy pulp novels is recruited by a quirky, reclusive ex-actor to help him write his biography at his house in Malta.",https://m.media-amazon.com/images/M/MV5BZTExMDg2YmMtZGIxYi00ODQyLTkxMWUtNjkwNWI1MWVjNDBlXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,"A seedy writer of sleazy pulp novels is recruited by a quirky, reclusive ex-actor to help him write his biography at his house in Malta.
Comedy, Crime, Drama, Mystery, Thriller
Mike Hodges","Comedy, Crime, Drama, Mystery, Thriller"
50,tt0108485,2020-10-30,2020-10-30,"An old aztec statue brought back from Mexico to France by a transvestite and an acrobat suddenly releases El Vibro, a.k.a. Vibroboy, a superhero endowed with a phallic driller...",Vibroboy,https://www.imdb.com/title/tt0108485/,short,6.4,28.0,1994,"Short, Comedy, Horror",539,1994-10-05,Jan Kounen,,,"An old aztec statue brought back from Mexico to France by a transvestite and an acrobat suddenly releases El Vibro, a.k.a. Vibroboy, a superhero endowed with a phallic driller...",https://m.media-amazon.com/images/M/MV5BZGJhN2UzZGQtMTZhMS00NDNjLTg4M2QtNzY1Y2M0NmJjYzlhXkEyXkFqcGdeQXVyNDE3NjEzNQ@@.jpg,"An old aztec statue brought back from Mexico to France by a transvestite and an acrobat suddenly releases El Vibro, a.k.a. Vibroboy, a superhero endowed with a phallic driller...
Short, Comedy, Horror
Jan Kounen","Short, Comedy, Horror"
51,tt1032846,2020-10-30,2020-10-30,A woman assists her friend in arranging an illegal abortion in 1980s Romania.,"4 luni, 3 saptamâni si 2 zile",https://www.imdb.com/title/tt1032846/,movie,7.9,113.0,2007,Drama,60869,2007-05-17,Cristian Mungiu,,,A woman assists her friend in arranging an illegal abortion in 1980s Romania.,https://m.media-amazon.com/images/M/MV5BYzU1YWUzNjYtNmVhZi00ODUyLTg4M2ItMTFlMmU1Mzc5OTE5XkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"A woman assists her friend in arranging an illegal abortion in 1980s Romania.
Drama
Cristian Mungiu",Drama
52,tt1959490,2020-10-30,2020-10-30,Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.,Noah,https://www.imdb.com/title/tt1959490/,movie,5.8,138.0,2014,"Action, Adventure, Drama",256559,2014-03-10,Darren Aronofsky,8.0,2021-05-12,Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.,https://m.media-amazon.com/images/M/MV5BMjI2OTgyNTc0Ml5BMl5BanBnXkFtZTgwNDM1NTQxMTE@.jpg,"Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.
Action, Adventure, Drama
Darren Aronofsky","Action, Adventure, Drama"
53,tt0079759,2020-10-30,2020-10-30,"An orchestra assembles for a rehearsal in an ancient chapel under the inquisitive eyes of a TV documentary crew, but an uprising breaks out.",Prova d'orchestra,https://www.imdb.com/title/tt0079759/,movie,7.1,72.0,1978,"Comedy, Drama, Music",4802,1978-11-30,Federico Fellini,,,"An orchestra assembles for a rehearsal in an ancient chapel under the inquisitive eyes of a TV documentary crew, but an uprising breaks out.",https://m.media-amazon.com/images/M/MV5BZjFkMzFiNWMtZTI5Yi00Mzg0LThlODYtMDA4YzExZGJmMDQ2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@.jpg,"An orchestra assembles for a rehearsal in an ancient chapel under the inquisitive eyes of a TV documentary crew, but an uprising breaks out.
Comedy, Drama, Music
Federico Fellini","Comedy, Drama, Music"
54,tt0072308,2020-10-30,2020-10-30,"At the opening party of a colossal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it.",The Towering Inferno,https://www.imdb.com/title/tt0072308/,movie,7.0,165.0,1974,"Action, Drama, Thriller",44648,1974-12-14,John Guillermin,7.0,2021-12-02,"At the opening party of a colossal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it.",https://m.media-amazon.com/images/M/MV5BMjA1N2JlMjItMTExZC00NTIxLWE2YTYtY2ZkM2M5OWM3M2YyXkEyXkFqcGdeQXVyNTc1NTQxODI@.jpg,"At the opening party of a colossal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it.
Action, Drama, Thriller
John Guillermin","Action, Drama, Thriller"
